,ftarget_Hz,Arange,Brange,timebase,dt_ns,fs_Hz,bw_Hz,samples,fmeas_Hz,a_Vpk,a_deg,b_Vpk,z_ohm,z_deg,b_deg,sigma_f_Hz,sigma_a_Vpk,sigma_b_Vpk,sigma_z_ohm,sigma_z_deg,a_adc_lsb_v,b_adc_lsb_v,max_a_dc,max_b_dc,Z,a_corr_Vpk,a_corr_deg,Z_corr,Zsl,Zsol
0,1000.0,100 mV,50 mV,12,40960.0,24414.0625,150.0,2048,999.9934852673356,0.4956334970323892,-82.82671339645465,0.4065551581124857,13.067950289650716,-33.407256538788864,-89.38565988021828,3.441277055874937,0.0001418353999685,0.0001023859598695,0.0175538013082473,0.0806422163856443,3.0518509475997192e-06,1.5259254737998596e-06,-0.0003885000295648,0.0002176530026398,(10.908888567182876-7.195194331144931j),0.4953763527043061,-83.05166400645464,(11.140917984056262-7.096644486977741j),(11.133601833535886-7.097182332909231j),(11.115517249288292-7.142460347989565j)
1,1011.5789544936885,50 mV,50 mV,12,40960.0,24414.0625,151.73684317405323,2048,1011.5729080520372,0.4856081866935204,-82.96970995863107,0.3958886155977639,12.672538538246108,-33.1750699967867,-89.65104709288502,3.4412763587086515,8.465380504340587e-05,8.719018597994679e-05,0.0118932544674337,0.0577127714292895,1.5259254737998596e-06,1.5259254737998596e-06,0.0007966999954222,0.0003453896546067,(10.60689126544623-6.9343824833298475j),0.48532713258300286,-83.19834193861527,(10.83066450303554-6.840028540639529j),(10.823307654054013-6.840583321097677j),(10.804424886316326-6.8896265350129315j)
2,1023.2919811745426,50 mV,50 mV,12,40960.0,24414.0625,153.49379717618137,2048,1023.286091068162,0.4762734218784682,-82.8522887970333,0.3857683883980735,12.294145633820625,-32.792891480551,-89.62518492674225,3.441276178473753,7.611536712906989e-05,7.881333974148673e-05,0.0113323953661232,0.052127626435674,1.5259254737998596e-06,1.5259254737998596e-06,0.0007989054345835,0.0005766701850375,(10.334816722285046-6.6584874655713016j),0.47598854299938687,-83.080545697028,(10.545668864419106-6.567188189685808j),(10.538392305413243-6.567696449376835j),(10.52180662337223-6.616203044053532j)
3,1035.1406324583188,50 mV,50 mV,12,40960.0,24414.0625,155.2710948687478,2048,1035.135130926688,0.4673342737888079,-82.93344509456507,0.3759940893194739,11.939509818132738,-32.2454619966382,-89.75808196628721,3.441276273605845,0.0001022392171337,8.693475371862249e-05,0.0122873237806417,0.051333380239329,1.5259254737998596e-06,1.5259254737998596e-06,0.0008937393185216,0.0005591086306344,(10.098077925872017-6.370457392206243j),0.4670131811043253,-83.16134276467659,(10.29888297864397-6.284099737571855j),(10.291605295828111-6.284597967866691j),(10.277880290543475-6.330108149586357j)
4,1047.1264787361215,50 mV,50 mV,12,40960.0,24414.0625,157.06897181041822,2048,1047.1207982792796,0.4585190125027649,-83.1247008766364,0.3663451984652421,11.597563636292511,-31.63032013234661,-89.98279786811672,3.441276226006239,0.0001287261426454,9.651169811844823e-05,0.0115697337645055,0.0507900657786641,1.5259254737998596e-06,1.5259254737998596e-06,0.00085845229194,0.0005392000717184,(9.874739013106774-6.082168761947092j),0.45818045725943596,-83.35551528657219,(10.067308030946917-5.996665156212527j),(10.059996390895536-5.997215511170582j),(10.046197974191879-6.037297217911596j)
5,1059.2511085825422,50 mV,50 mV,12,40960.0,24414.0625,158.88766628738134,2048,1059.2454164280657,0.4504261505284666,-82.14382744450664,0.3574070171922761,11.28361242677645,-30.93948223261465,-89.00675201590111,3.4412766930796503,0.0001186915355626,9.409223603140992e-05,0.0119704770427025,0.0569294023990399,1.5259254737998596e-06,1.5259254737998596e-06,0.000695249794,0.0004181467945074,(9.678156123062253-5.801325995040161j),0.4500774824589447,-82.37248404458093,(9.859175179507737-5.718007531778506j),(9.851815919970814-5.718679626285592j),(9.841972627692236-5.761947312764924j)
6,1071.5161289662085,50 mV,50 mV,12,40960.0,24414.0625,160.72741934493123,2048,1071.509450159883,0.4432817227765597,-82.27747150676558,0.3492111215272863,10.984659180465988,-30.066068490722238,-89.09778483957709,3.4412766579284866,8.670569474180384e-05,9.546923842171005e-05,0.0121912891779726,0.0603212640733337,1.5259254737998596e-06,1.5259254737998596e-06,0.0005474853701895,0.0003122931655705,(9.506536047120479-5.503421935398786j),0.4429306714364623,-82.5080453367603,(9.678595510463802-5.418539407721606j),(9.671224132211986-5.41914848906404j),(9.661477094087216-5.460300272964027j)
7,1083.9231654627602,50 mV,50 mV,12,40960.0,24414.0625,162.58847481941402,2048,1083.9163807059872,0.4359701192606793,-82.05434486765407,0.3408973555688586,10.696492533400614,-29.08134478262549,-88.79827673905963,3.4412761588574416,7.350950473144516e-05,7.302115844199733e-05,0.0105255581801121,0.0575533545400721,1.5259254737998596e-06,1.5259254737998596e-06,0.0003092979407635,0.0003122708131466,(9.347929889295415-5.198837042493711j),0.4356284302112116,-82.28444013763726,(9.50894419187137-5.112368157026843j),(9.501511682132378-5.113056105073399j),(9.493332831750926-5.149410738004733j)
8,1096.4738624703082,50 mV,50 mV,12,40960.0,24414.0625,164.47107937054622,2048,1096.4667962080096,0.4298053083252653,-82.5507211660655,0.3335611476455976,10.423268783612093,-28.03138428737521,-89.1917368772993,3.441276304914465,8.827042324892303e-05,8.779661365946515e-05,0.0115745241709942,0.0513248524490565,1.5259254737998596e-06,1.5259254737998596e-06,0.0003842828722495,0.0003167934535889,(9.20056290197507-4.898499884264662j),0.42944592047474744,-82.7803608460826,(9.352847762193297-4.812418365963657j),(9.345463949805026-4.813093894802693j),(9.339905363524345-4.848390147127127j)
9,1109.1698834273705,50 mV,50 mV,12,40960.0,24414.0625,166.37548251410556,2048,1109.1735935336203,0.4238096760882983,-81.86931802833817,0.32662353570975,10.188473327051971,-26.934868912726166,-88.37192159045989,3.441276543135737,7.288820300984378e-05,8.175200622922418e-05,0.0103797519719941,0.0563660240707215,1.5259254737998596e-06,1.5259254737998596e-06,0.0005739506401257,0.0004446269660596,(9.08332708837019-4.6153157615014555j),0.42342711776056535,-82.09941944845625,(9.228896264435633-4.529091335476582j),(9.221500407428957-4.529750305383602j),(9.216462911518153-4.563991556351403j)
10,1122.0129110333446,50 mV,50 mV,12,40960.0,24414.0625,168.3019366550017,2048,1122.016437983279,0.4183560390315807,-82.19155400158125,0.3202031119942672,9.971297085886809,-25.734552995812177,-88.51555973145518,3.441276544180579,7.458498080480204e-05,7.74671231282678e-05,0.01026372964433,0.0571956463130126,1.5259254737998596e-06,1.5259254737998596e-06,0.0009135882709738,0.0011143130378887,(8.982479764745502-4.329514683493017j),0.41794946297101576,-82.42520452158729,(9.12320395743106-4.241135256685859j),(9.115777268306386-4.241826709596336j),(9.113352642579047-4.277003066603656j)
11,1135.0046474715305,50 mV,50 mV,12,40960.0,24414.0625,170.25069712072957,2048,1135.0071691031008,0.4134757219712978,-81.71546488384324,0.3144272449296795,9.779870831640414,-24.50050391125913,-87.83333306148539,3.441276176048635,9.367912537735086e-05,8.307905849231781e-05,0.0105591106485091,0.0584381954855163,1.5259254737998596e-06,1.5259254737998596e-06,0.001065763573107,0.0009093040563867,(8.899235842377978-4.055615466361362j),0.41303934009914967,-81.95146406381653,(9.035426477114243-3.96573299914492j),(9.028052198437717-3.9664611640498153j),(9.026865151767385-4.00222086725269j)
12,1148.146814634728,50 mV,50 mV,12,40960.0,24414.0625,172.2220221952092,2048,1148.1482849661031,0.4090348700813199,-81.79800730932662,0.3092181667688654,9.615463103394443,-23.24009216064521,-87.68294207499554,3.4412761976012094,8.903087774646101e-05,9.24497128327252e-05,0.0111545636642638,0.0615958402364244,1.5259254737998596e-06,1.5259254737998596e-06,0.0030043445959349,0.0025748576716856,(8.835389290480336-3.7941975942911648j),0.40858247654561786,-82.0332623693473,(8.965354837900659-3.7031942003908482j),(8.957973295761176-3.703870863726785j),(8.958072446892592-3.737365709495855j)
13,1161.4411543534557,50 mV,50 mV,12,40960.0,24414.0625,174.21617315301833,2048,1161.4411652121464,0.4049982561676719,-82.62689682279557,0.3044113883250144,9.46418638129514,-21.889544634551104,-88.24253348698647,3.4412761483343925,9.799422805416388e-05,8.189785248258987e-05,0.0101452085613328,0.0608973733467855,1.5259254737998596e-06,1.5259254737998596e-06,0.0016127124851222,0.0014203177215262,(8.781979674852048-3.5282501911225945j),0.4045372032256883,-82.86201140283137,(8.905583254142968-3.4350967302315256j),(8.89815580296653-3.435860832421432j),(8.901219740364157-3.4686491302554856j)
14,1174.8894286268112,50 mV,50 mV,12,40960.0,24414.0625,176.23341429402169,2048,1174.8880044942791,0.4016547395375178,-81.46315926208955,0.3002733343634943,9.330198121069872,-20.459322200344776,-86.77448600148652,3.441276131122517,7.481001609340803e-05,8.751548504755577e-05,0.0104509487127293,0.0670606995088116,1.5259254737998596e-06,1.5259254737998596e-06,0.0016413831942197,0.0014027785195471,(8.741742527539264-3.261383560379195j),0.40116731592278776,-81.69963606205175,(8.861007521422994-3.1659086666783267j),(8.853594402108472-3.1666425576931987j),(8.857250555538162-3.1998319036758764j)
15,1188.4934198559954,50 mV,50 mV,12,40960.0,24414.0625,178.2740129783993,2048,1188.489899638987,0.3987730383441122,-81.60982986262206,0.2966911366044489,9.218629042800451,-19.00141078664781,-86.59234594967972,3.4412761781188608,8.067218259633625e-05,7.996649207748911e-05,0.0098245722058399,0.0583122003211584,1.5259254737998596e-06,1.5259254737998596e-06,0.0014076066431165,0.0010876987517929,(8.716259236496796-3.001541055635925j),0.39828892881664046,-81.84719036261272,(8.829153021615788-2.902279811940596j),(8.821781932060828-2.903034706398256j),(8.827044727921868-2.936054483764566j)
16,1202.254931080556,50 mV,50 mV,12,40960.0,24414.0625,180.3382396620834,2048,1202.2495433422405,0.3963260633134575,-81.9072303873402,0.2935890882865609,9.121336486676242,-17.528982531477855,-86.5441187243645,3.4412765569656982,8.334381597947024e-05,7.926490292231108e-05,0.0083419319616609,0.0641074323447348,1.5259254737998596e-06,1.5259254737998596e-06,0.0006533464499343,0.0006802289651173,(8.697990101311813-2.7472167628799125j),0.39579564627387864,-82.14458104734943,(8.80816698847116-2.646790048888837j),(8.800809203476941-2.647492777824444j),(8.809130215911317-2.680386530111417j)
